# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
1.860125585717224084e+00 4.452491715813102213e-01 -2.236042720307756804e-01 1.186302519751251221e+09 3.892167903248011385e+01 8.376544803188384902e-01 -9.352854117187581195e-01 2.328656129645602313e+00 7.730804402064936909e+00 5.338919356185547471e-01 6.298382338990362594e-01 -1.496125000000000000e+04
3.866413145747664704e+00 5.480279188492057640e-01 -1.799111693831220993e-01 1.186302519754133701e+09 3.344856353092309575e+01 9.125774960019996662e-01 9.218309094312444607e-01 2.711802455334673567e+00 7.497515504712270129e+00 3.681303686364160166e-01 4.490329142652528804e-01 -1.496063999999999942e+04
5.283214338081393180e+00 4.172938970661303482e-01 -1.900855011560458330e-01 1.186302519752473593e+09 4.102891733121173701e+01 7.085075830543356989e-01 -8.649367674712301612e-01 2.441059732227040868e+00 7.713775425734063163e+00 6.173840440438543853e-01 7.958586627175004979e-01 -1.496004999999999927e+04
5.210656751570587053e-01 7.028997346938191670e-01 1.426252414727796070e-01 1.186302519752408266e+09 3.073627135111061648e+01 4.006606697319058941e-01 7.111771750612689846e-01 1.714529652778403745e+00 7.025581301022180369e+00 1.980655752606059472e-01 2.767937574059202710e-01 -1.495951000000000022e+04
4.560860541226397835e+00 2.533129771097795135e-01 -4.544106074314421262e-01 1.186302519751330614e+09 3.337710384015213094e+01 7.132997664681195449e-01 8.610327159332753499e-01 1.187859064760638184e+00 7.310891584837768242e+00 3.635157209318287674e-01 2.460115080370146312e-01 -1.495950000000000000e+04
3.795233790677670971e+00 3.213919323964540276e-01 -2.825070740984287343e-01 1.186302519752026081e+09 3.422438478597684508e+01 4.033395809630579976e-01 -9.706674865767735971e-01 1.486625779379368462e+00 7.356648854768209844e+00 4.929889887006074778e-01 4.761263079264239917e-02 -1.495906999999999971e+04
2.006566947342628193e+00 3.911501369456871213e-01 -1.953123972236451844e-01 1.186302519755156994e+09 3.219832047753119042e+01 6.502955726638436351e-01 -6.762798478272868952e-01 1.135840903962464399e+00 6.888436961145342430e+00 2.455655119875749248e-01 7.205208118822792329e-01 -1.495862999999999920e+04
1.932301677974531118e-01 4.005948719579964235e-01 -2.377329576939928579e-01 1.186302519753815889e+09 3.770033354079748733e+01 9.074627985019136922e-01 -9.778937446180814286e-01 2.997529220919922022e+00 7.616570636753518642e+00 6.651621583813389638e-01 4.049388603498141892e-01 -1.495831999999999971e+04
8.635238755151376511e-01 2.774973513163722094e-01 -5.004983329618204468e-01 1.186302519750715256e+09 3.010133940028544686e+01 6.625835562634609932e-01 9.895685149587261087e-01 1.653939222977298895e+00 7.421702039683152563e+00 8.261472038940244345e-02 5.202358928228072166e-02 -1.495804000000000087e+04
6.080382891594602768e+00 7.365759208203849218e-01 -6.457347000957160132e-02 1.186302519751121998e+09 3.213137257865699326e+01 5.647060384485226292e-01 -8.078803638392295650e-01 4.005991631940334363e-01 6.913308163914116733e+00 1.884432390268501456e-01 3.429071882203501009e-01 -1.495794000000000051e+04
5.104822424088092170e+00 4.293424412297112136e-01 -1.585557181875160426e-01 1.186302519752696991e+09 3.977707748974812318e+01 7.467047512051550040e-01 -7.629783531176141942e-01 2.286475318042631599e+00 7.449141837631610308e+00 6.965293596128935283e-01 5.563365244888194283e-01 -1.495756999999999971e+04
3.542245474587652598e+00 2.884057538072706817e-01 -2.753805355641585906e-01 1.186302519753996849e+09 2.998090575614193298e+01 5.033854675316816740e-01 -9.952018010162198003e-01 4.437146303390491764e-01 7.658830562830680755e+00 1.302322518204447055e-01 2.000513971455251117e-01 -1.495751000000000022e+04
2.368031795668770201e+00 4.887941133977456998e-01 -1.813230465270852243e-01 1.186302519753398418e+09 3.438287839807372848e+01 7.077669644416244576e-01 -6.203524832707749681e-01 1.500424579352230836e+00 7.040927028290997036e+00 4.832116420353732567e-01 5.460492431028789451e-01 -1.495727000000000044e+04
4.279437991601537483e+00 9.000555745998446433e-01 1.478555117732406887e-01 1.186302519752497911e+09 3.125679370897963594e+01 5.072928247791909095e-01 9.215204113595131252e-01 2.211810568582324166e+00 7.100617152696973911e+00 3.283925645567731255e-01 1.945065019517011884e-01 -1.495720000000000073e+04
4.013013780485164439e+00 6.827988402830701409e-01 -8.387678729607105088e-02 1.186302519753505230e+09 3.139180653334415894e+01 4.250767577577022061e-01 -4.240770733262109182e-01 1.037545004979829155e+00 6.422371840371380536e+00 3.736739846088713013e-01 5.861675603568360093e-02 -1.495714999999999964e+04
4.946474412257883202e+00 3.722335361989664859e-01 -2.777727995000544015e-01 1.186302519752168894e+09 3.214036291131598944e+01 6.071925934215617326e-01 -9.677286658171740941e-01 2.118906587501826255e+00 7.159358569239174130e+00 2.958125188578905052e-01 2.623347975738312687e-01 -1.495705999999999949e+04
